Name,address,star,Rating+Noreview,Rank,price,seat,openclosedate-time,type,facilities
Liquid Objects (Coffee&Bagels),277/78 ถนนพระราม 3 ซอย 42 กรุงเทพมหานคร,4.1, 23 เรตติ้ง (16 รีวิว),อันดับ #3 จาก 348, (101 - 250 บาท),11 - 40 ที่นั่ง,"{'จันทร์ - ศุกร์': ['07:30 - 17:30'], 'เสาร์, อาทิตย์': ['08:00 - 18:00']}","ร้านกาแฟ/ชา,เบเกอรี/เค้ก,เครื่องดื่ม/น้ำผลไม้,","[{'Liquid Objects (Coffee&Bagels)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
คาเฟ่ เดอ วาน่า เรือนแม่หลุย (Cafe’ De Wana เรือนแม่หลุย),"179/164, วัชรพล ซอยร่วมมิตรพัฒนา ท่าแร้ง บางเขน กรุงเทพมหานคร กรุงเทพมหานคร (ตรงกับข้ามเซเว่น ม.เฟิสท์โฮม)",3.9, 4 เรตติ้ง (3 รีวิว),"อันดับ #10 จาก 1,547", (101 - 250 บาท),11 - 40 ที่นั่ง,"{'จันทร์ - อังคาร': ['09:00 - 21:00'], 'ศุกร์ - อาทิตย์': ['09:00 - 21:00']}","อาหารไทย,ร้านกาแฟ/ชา,อาหารใต้,","[{'คาเฟ่ เดอ วาน่า เรือนแม่หลุย (Cafe’ De Wana เรือนแม่หลุย)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Vivi The Coffee Place (วีวี่ เดอะ คอฟฟี่ เพลส),"394/12, ถนนมหาราช กรุงเทพมหานคร (ด้านหน้าโรงแรมออรั่มเดอะริเวอร์เพลส)",3.8, 191 เรตติ้ง (157 รีวิว),อันดับ #11 จาก 496, (101 - 250 บาท),41 - 80 ที่นั่ง,{'ทุกวัน': ['10:00 - 20:00']},"ร้านกาแฟ/ชา,ร้านริมน้ำ,","[{'Vivi The Coffee Place (วีวี่ เดอะ คอฟฟี่ เพลส)': True, 'ที่จอดรถ': False, 'Wi-Fi': False, 'รับบัตรเครดิต': False, 'แอลกอฮอล์': True}]"
Bora bora cafe (โบรา โบร่า คาเฟ่),"118/25, ถนน หลานหลวง คลองมหานาค ป้อมปราบศัตรูพ่าย กรุงเทพมหานคร กรุงเทพมหานคร",4, 14 เรตติ้ง (13 รีวิว),อันดับ #7 จาก 182, (ต่ำกว่า 100 บาท),ไม่เกิน 10 ที่นั่ง,{'อังคาร - อาทิตย์': ['09:00 - 17:00']},"ร้านกาแฟ/ชา,คาเฟ่,เครื่องดื่ม/น้ำผลไม้,","[{'Bora bora cafe (โบรา โบร่า คาเฟ่)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
butch's coffee (บุช คอฟฟี่ วิภาวดี5 แยก1),"Wang-Dek 3 bd., 19, 1-2 ซอย วิภาวดีรังสิต 5 แยก 1 แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร ประเทศไทย กรุงเทพมหานคร",4.1, 11 เรตติ้ง (10 รีวิว),"อันดับ #11 จาก 1,300", (ต่ำกว่า 100 บาท),,{'ทุกวัน': ['07:00 - 17:00']},"ร้านกาแฟ/ชา,คาเฟ่,ของหวาน,","[{""butch's coffee (บุช คอฟฟี่ วิภาวดี5 แยก1)"": True, 'ที่จอดรถ': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True}]"
PAPA’ CHAO Cafe and Make up Studio (ปา ป้า เชา คาเฟ่),"Soi Chaeng Watthana 14, Thung Song Hong, Bangkok, 10210, Thailand กรุงเทพมหานคร (เข้าซอยแจ้ง 14 ประมาณ 30 เมตรอยู่ขวามือ ติดกลับอาวีนิตย์คลีนิก)",4.1, 15 เรตติ้ง (11 รีวิว),อันดับ #1 จาก 519, (ต่ำกว่า 100 บาท),,{'อังคาร - อาทิตย์': ['07:30 - 17:00']},"ร้านกาแฟ/ชา,","[{'PAPA’ CHAO Cafe and Make up Studio (ปา ป้า เชา คาเฟ่)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True}]"
Bean Around cafe (Bean Around),ถนน รางน้ำ กรุงเทพมหานคร (ซ.รางน้ำ ตรงข้าม คิงพาวเวอร์),3.8, 54 เรตติ้ง (51 รีวิว),อันดับ #5 จาก 519, (ต่ำกว่า 100 บาท),,{'ทุกวัน': ['07:30 - 18:00']},"ร้านกาแฟ/ชา,เบเกอรี/เค้ก,","[{'Bean Around cafe (Bean Around)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False}]"
THE COFFEE ACADEMICS,4 4/1-4/2 ถนน พระรามที่ ๑ กรุงเทพมหานคร (THE COFFEE ACADEMICS ชั้น 2 โซน Eden Centralworld),3.9, 11 เรตติ้ง (9 รีวิว),อันดับ #41 จาก 836, (101 - 250 บาท),,{'ทุกวัน': ['10:00 - 20:30']},"ร้านกาแฟ/ชา,","[{'THE COFFEE ACADEMICS': True, 'เดลิเวอรี': True}]"
EGG ALL DAY,919 ถ. สุขุมวิท 71 แขวง คลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร ประเทศไทย กรุงเทพมหานคร,4.1, 18 เรตติ้ง (13 รีวิว),อันดับ #22 จาก 367, (251 - 500 บาท),11 - 40 ที่นั่ง,{'อังคาร - อาทิตย์': ['07:00 - 18:00']},"อาหารนานาชาติ,คาเฟ่,ร้านกาแฟ/ชา,","[{'EGG ALL DAY': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
KIMMIK Coffee & Bakery (KIMMIK Coffee & Bakery),1350/720 อาคารไทยรงค์ทาวเวอร์ ชั้น 1 ถนนพัฒนาการ แขวงสวนหลวง เขตสวนหลวง กรุงเทพฯ 10250 กรุงเทพมหานคร,4.1, 55 เรตติ้ง (28 รีวิว),อันดับ #6 จาก 677, (ต่ำกว่า 100 บาท),11 - 40 ที่นั่ง,"{'จันทร์ - ศุกร์': ['07:30 - 16:00'], 'เสาร์, อาทิตย์': ['08:00 - 16:00']}","ร้านกาแฟ/ชา,คาเฟ่,เบเกอรี/เค้ก,","[{'KIMMIK Coffee & Bakery (KIMMIK Coffee & Bakery)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Heaven Brown,"83, แพร่งนรา ศาลเจ้าพ่อเสือ พระนคร กรุงเทพมหานคร กรุงเทพมหานคร (ถ.แพร่งนรา ใกล้ศาลเจ้าพ่อเสือ)",3.9, 4 เรตติ้ง (4 รีวิว),อันดับ #12 จาก 496,,ไม่เกิน 10 ที่นั่ง,"{'จันทร์ - ศุกร์': ['07:30 - 16:30'], 'เสาร์': ['09:00 - 16:30']}","ร้านกาแฟ/ชา,","[{'Heaven Brown': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True}]"
Loading Caffeine,Inthrawat 35 Khet Taling Chan Krung Thep Maha Nakhon 10170 กรุงเทพมหานคร,3.9, 17 เรตติ้ง (15 รีวิว),อันดับ #8 จาก 458, (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['10:00 - 18:00']},"ร้านกาแฟ/ชา,","[{'Loading Caffeine': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Chaya Teahouse,7 ซอย ประดิพัทธิ์ 14 แขวง สามเสนใน เขตพญาไท กรุงเทพมหานคร ประเทศไทย 10400 กรุงเทพมหานคร (ชอยประดิพัทธ์?14),4.1, 10 เรตติ้ง (9 รีวิว),อันดับ #15 จาก 517, (101 - 250 บาท),11 - 40 ที่นั่ง,{'อังคาร - อาทิตย์': ['10:00 - 17:30']},"ร้านกาแฟ/ชา,","[{'Chaya Teahouse': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True}]"
Calico Koff,278/7-8 ถนนอิสรภาพ กรุงเทพมหานคร,3.7, 9 เรตติ้ง (8 รีวิว),อันดับ #1 จาก 201, (101 - 250 บาท),,"{'จันทร์ - อังคาร': ['08:00 - 16:00'], 'พฤหัสบดี - อาทิตย์': ['08:00 - 16:00']}","ร้านกาแฟ/ชา,","[{'Calico Koff': True, 'เดลิเวอรี': True}]"
Gusion Coffee Project,165 ซอยสุขุมวิท 49/9 คลองตันเหนือ วัฒนา กรุงเทพ 10110 กรุงเทพมหานคร,4.1, 28 เรตติ้ง (21 รีวิว),"อันดับ #249 จาก 27,965", (101 - 250 บาท),ไม่เกิน 10 ที่นั่ง,"{'จันทร์ - ศุกร์': ['07:30 - 16:00'], 'เสาร์, อาทิตย์': ['08:00 - 16:30']}","ร้านกาแฟ/ชา,","[{'Gusion Coffee Project': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
หล่อเลี้ยง ?? Sweetmeat,61 ซอย สาทร 11 แขวง ยานนาวา เขต สาทร กรุงเทพมหานคร ประเทศไทย กรุงเทพมหานคร,3.9, 39 เรตติ้ง (27 รีวิว),อันดับ #5 จาก 322, (ต่ำกว่า 100 บาท),ไม่เกิน 10 ที่นั่ง,"{'จันทร์ - ศุกร์': ['10:30 - 18:30'], 'เสาร์': ['11:30 - 18:30']}","ของหวาน,ชานมไข่มุก,ร้านกาแฟ/ชา,","[{'หล่อเลี้ยง ?? Sweetmeat': True, 'ที่จอดรถ': False, 'Wi-Fi': False, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Osmosis by Leaf Factory (Osmosis by Leaf Factory),217/1 ถ.บางเชือกหนัง แขวงบางเชือกหนัง เขตตลิ่งชัน กรุงเทพมหานคร 10170 กรุงเทพมหานคร,4, 56 เรตติ้ง (34 รีวิว),อันดับ #10 จาก 458, (101 - 250 บาท),11 - 40 ที่นั่ง,"{'จันทร์ - อังคาร': ['10:00 - 18:00'], 'พฤหัสบดี - อาทิตย์': ['10:00 - 18:00']}","ร้านกาแฟ/ชา,","[{'Osmosis by Leaf Factory (Osmosis by Leaf Factory)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True}]"
BlackHeath Bistro,"Thanon Ratchapruk, Taling Chan, Bangkok, 10170, Thailand กรุงเทพมหานคร",4.1, 5 เรตติ้ง (5 รีวิว),อันดับ #9 จาก 458, (251 - 500 บาท),ไม่เกิน 10 ที่นั่ง,"{'จันทร์': ['10:00 - 17:00'], 'พุธ - อาทิตย์': ['10:00 - 17:00']}","ร้านกาแฟ/ชา,","[{'BlackHeath Bistro': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False}]"
หลงเหมิน คาเฟ่ เยาวราช (Lhongmen cafe yaowarat),"611, ถ. เจริญกรุง สัมพันธวงศ์ สัมพันธวงศ์ กรุงเทพมหานคร กรุงเทพมหานคร",4.1, 14 เรตติ้ง (11 รีวิว),อันดับ #11 จาก 63, (101 - 250 บาท),11 - 40 ที่นั่ง,"{'จันทร์ - อังคาร': ['11:00 - 20:00'], 'พฤหัสบดี - เสาร์': ['11:00 - 23:00'], 'อาทิตย์': ['11:00 - 20:00']}","คาเฟ่,อาหารจานเดียว,ร้านกาแฟ/ชา,","[{'หลงเหมิน คาเฟ่ เยาวราช (Lhongmen cafe yaowarat)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Baker Bricks (เบเคอร์บริคส์),147 ซอย สุขุมวิท 39 กรุงเทพมหานคร,4, 31 เรตติ้ง (23 รีวิว),"อันดับ #248 จาก 19,199", (ต่ำกว่า 100 บาท),,"{'จันทร์ - ศุกร์': ['07:00 - 16:30'], 'เสาร์, อาทิตย์': ['09:00 - 16:30']}","เบเกอรี/เค้ก,ร้านกาแฟ/ชา,","[{'Baker Bricks (เบเคอร์บริคส์)': True, 'ที่จอดรถ': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True}]"
Hub39 Coffee Bar,ซอย พหลโยธิน 11 กรุงเทพมหานคร (เข้าซอยมาประมาณ. 500. เมตร. อยู่ติดกับร้านอาหารญี่ปุ่นซาโซริ)),4, 25 เรตติ้ง (18 รีวิว),อันดับ #16 จาก 517, (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['09:00 - 19:00']},"ร้านกาแฟ/ชา,เบเกอรี/เค้ก,อาหารเช้า,","[{'Hub39 Coffee Bar': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True, 'แอลกอฮอล์': True}]"
UCC Coffee Roastery,ศูนย์การค้า เกตเวย์ เอกมัย แขวง พระโขนง เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย กรุงเทพมหานคร,4.2, 16 เรตติ้ง (12 รีวิว),อันดับ #5 จาก 532, (251 - 500 บาท),,{'ทุกวัน': ['10:00 - 22:00']},"ร้านกาแฟ/ชา,","[{'UCC Coffee Roastery': True, 'ที่จอดรถ': True}]"
Madame Eclair Patisserie (มาดามเอแคลร์),ถ.วัดแก้ว- บางพรม ตัดกับพุทธมณฑลสาย 1 กรุงเทพมหานคร (พุทธมณฑลสาย 1 ใกล้โรงเรียนอยู่เย็นวิทยา ตรงข้าม ซอย บางพรม 72),3.8, 17 เรตติ้ง (12 รีวิว),อันดับ #11 จาก 458, (ต่ำกว่า 100 บาท),,"{'จันทร์ - อังคาร': ['08:30 - 17:00'], 'พฤหัสบดี - อาทิตย์': ['08:30 - 17:00']}","ร้านกาแฟ/ชา,ของหวาน,","[{'Madame Eclair Patisserie (มาดามเอแคลร์)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False}]"
กาแฟกอดแก้ว (Kodkaew Cafe),414 เยาวราช ซอย 11 ถนน อิสรานุภาพ กรุงเทพมหานคร,4.1, 3 เรตติ้ง (1 รีวิว),อันดับ #8 จาก 163, (ต่ำกว่า 100 บาท),ไม่เกิน 10 ที่นั่ง,"{'จันทร์ - เสาร์': ['08:00 - 16:00'], 'อาทิตย์': ['08:00 - 14:00']}","ร้านกาแฟ/ชา,คาเฟ่,เครื่องดื่ม/น้ำผลไม้,","[{'กาแฟกอดแก้ว (Kodkaew Cafe)': True, 'Wi-Fi': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Wondering Cafe & Bakeshop,1027 ถนน เพลินจิต แขวง ลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330 ประเทศไทย กรุงเทพมหานคร,4.2, 8 เรตติ้ง (7 รีวิว),"อันดับ #251 จาก 19,199", (101 - 250 บาท),,{'ทุกวัน': ['10:00 - 19:00']},"เบเกอรี/เค้ก,คาเฟ่,ร้านกาแฟ/ชา,","[{'Wondering Cafe & Bakeshop': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True}]"
Caf? Kitsun?,693 695 The EmQuartier ถนนสุขุมวิท กรุงเทพมหานคร,4.2, 48 เรตติ้ง (35 รีวิว),"อันดับ #330 จาก 7,754", (101 - 250 บาท),,{'ทุกวัน': ['10:00 - 20:30']},"คาเฟ่,ร้านกาแฟ/ชา,","[{'Caf? Kitsun?': True, 'ที่จอดรถ': True, 'Wi-Fi': False, 'รับบัตรเครดิต': True}]"
Temp. & Time Coffee,"431, ถนนสมเด็จพระเจ้าตากสิน สำเหร่ ธนบุรี กรุงเทพมหานคร กรุงเทพมหานคร (อยู่เลยซอยสมเด็จพระเจ้าตากสิน 21 มา 80 เมตร อยู่ระหว่างศูนย์ซ่อม Panasonic กับร้านขายศาลเจ้า)",3.8, 10 เรตติ้ง (8 รีวิว),อันดับ #4 จาก 379, (101 - 250 บาท),ไม่เกิน 10 ที่นั่ง,{'อังคาร - อาทิตย์': ['09:00 - 17:00']},"ร้านกาแฟ/ชา,","[{'Temp. & Time Coffee': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True}]"
Hint Coffee (ฮิ้นท์คอฟฟี่),178 ถ. กรุงธนบุรี แขวง คลองต้นไทร เขตคลองสาน กรุงเทพมหานคร 10600 ประเทศไทย กรุงเทพมหานคร,3.9, 35 เรตติ้ง (24 รีวิว),อันดับ #8 จาก 298, (101 - 250 บาท),11 - 40 ที่นั่ง,{'อังคาร - อาทิตย์': ['09:30 - 17:30']},"ร้านกาแฟ/ชา,","[{'Hint Coffee (ฮิ้นท์คอฟฟี่)': True, 'ที่จอดรถ': True, 'Wi-Fi': False, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Hotto Bun (ฮอตโตะบัน),ค่าส่งเริ่มต้น 0 บาท *ภายในระยะทางที่กำหนด,3.8, 479 เรตติ้ง (358 รีวิว),อันดับ #21 จาก 447, (101 - 250 บาท),41 - 80 ที่นั่ง,{'ทุกวัน': ['09:00 - 22:00']},"คาเฟ่,ร้านกาแฟ/ชา,ฟาสต์ฟู้ด/จานด่วน,","[{'Hotto Bun (ฮอตโตะบัน)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True}]"
Boonchomphu Home Cafe (บุญชมพู โฮมคาเฟ่),"ถนนพุทธมณฑลสาย 2, บางไผ่, กรุงเทพมหานคร, 10160, ประเทศไทย กรุงเทพมหานคร (ขับเลยไฟแดง พุทธมณฑลสาย 2 ซอย 7 ข้ามสะพานข้ามคลอง ชิดซ้ายเลยมาประมาณ 500 เมตร อยู่ซ้ายมือ ร้านสีขาว)",3.9, 7 เรตติ้ง (7 รีวิว),อันดับ #5 จาก 170, (101 - 250 บาท),ไม่เกิน 10 ที่นั่ง,"{'อังคาร - ศุกร์': ['09:30 - 16:30'], 'เสาร์, อาทิตย์': ['10:00 - 18:00']}","คาเฟ่,ร้านกาแฟ/ชา,เบเกอรี/เค้ก,","[{'Boonchomphu Home Cafe (บุญชมพู โฮมคาเฟ่)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Cherrydog Coffee Roaster (Cherrydog Coffee Roasters),ถนน มอเตอร์เวย์ 5 กรุงเทพมหานคร,4.1, 18 เรตติ้ง (15 รีวิว),อันดับ #3 จาก 380, (101 - 250 บาท),11 - 40 ที่นั่ง,{'อังคาร - อาทิตย์': ['09:00 - 18:00']},"ร้านกาแฟ/ชา,","[{'Cherrydog Coffee Roaster (Cherrydog Coffee Roasters)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True}]"
Kyoto Drip Coffee Concentrated Coldbrew กาเเฟสกัดเย็นแบบหยดเข้มข้นมาก (kyoto Drip coldbrewconcentrate กาแฟสกัดเย็นแบบหยดเข้มข้นมาก),477/3 ถนนพระรามที่ ๔ แขวง รองเมือง เขตปทุมวัน กรุงเทพมหานคร ประเทศไทย กรุงเทพมหานคร (ตรงแยกมหานคร เข้าซอยเจ๊เตี๋ยว เดินตรงผ่านทางที่แคบลง ประมาณอีก50เมตร จะเจอรั้วไม้ด้านขวา),4, 3 เรตติ้ง (3 รีวิว),อันดับ #23 จาก 836, (101 - 250 บาท),,{'ทุกวัน': ['08:00 - 20:00']},"ร้านกาแฟ/ชา,เครื่องดื่ม/น้ำผลไม้,","[{'Kyoto Drip Coffee Concentrated Coldbrew กาเเฟสกัดเย็นแบบหยดเข้มข้นมาก (kyoto Drip coldbrewconcentrate กาแฟสกัดเย็นแบบหยดเข้มข้นมาก)': True, 'ที่จอดรถ': False, 'Wi-Fi': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True}]"
ARCH Premium Coffee (อาช พรีเมียม คอฟฟี่),"2304-2306, ถนนสุขุมวิท บางจาก พระโขนง กรุงเทพมหานคร กรุงเทพมหานคร",3.9, 23 เรตติ้ง (14 รีวิว),อันดับ #3 จาก 102, (101 - 250 บาท),11 - 40 ที่นั่ง,{'อังคาร - อาทิตย์': ['09:30 - 17:30']},"คาเฟ่,ร้านกาแฟ/ชา,","[{'ARCH Premium Coffee (อาช พรีเมียม คอฟฟี่)': True, 'ที่จอดรถ': True, 'Wi-Fi': False, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Gu Slow Bar Coffee กุสโลว์บาร์คอฟฟี่ (กุสโลว์บาร์คอฟฟี่),"561 ถนน ประชาธิปก กรุงเทพมหานคร (อยู่ริมถนนประชาธิปก ฝั่งมุ่งหน้าวงเวียนใหญ่, เลยซอยสารภี2 โรงเรียนไทยซิกข์นานาชาติ,ข้างซอยแม่กิมลั้ง)",4.2, 38 เรตติ้ง (28 รีวิว),อันดับ #9 จาก 298, (101 - 250 บาท),11 - 40 ที่นั่ง,"{'จันทร์': ['08:00 - 18:00'], 'พุธ - อาทิตย์': ['08:00 - 18:00']}","ร้านกาแฟ/ชา,คาเฟ่,","[{'Gu Slow Bar Coffee กุสโลว์บาร์คอฟฟี่ (กุสโลว์บาร์คอฟฟี่)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
TSUJIRI (TSUJIRI),"4, 4/1-4/2 ปทุมวัน ปทุมวัน กรุงเทพมหานคร กรุงเทพมหานคร",3.9, 27 เรตติ้ง (21 รีวิว),"อันดับ #213 จาก 25,438", (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['10:00 - 21:00']},"ของหวาน,ร้านกาแฟ/ชา,ไอศกรีม,","[{'TSUJIRI (TSUJIRI)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
BENKOFF - Tiny espresso bar (Thonglor 9),195 สุขุมวิท แขวง คลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร ประเทศไทย กรุงเทพมหานคร,3.8, 13 เรตติ้ง (12 รีวิว),"อันดับ #273 จาก 27,965", (101 - 250 บาท),ไม่เกิน 10 ที่นั่ง,{'ทุกวัน': ['07:30 - 16:30']},"ร้านกาแฟ/ชา,คาเฟ่,","[{'BENKOFF - Tiny espresso bar (Thonglor 9)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Artis Coffee Bangkok (อาร์ททิส คอฟฟี่),"390/20, ซอยสุขุมวิท 18 กรุงเทพมหานคร (ปากซอย 18)",4, 37 เรตติ้ง (28 รีวิว),อันดับ #7 จาก 532, (101 - 250 บาท),,{'ทุกวัน': ['07:00 - 20:00']},"ร้านกาแฟ/ชา,","[{'Artis Coffee Bangkok (อาร์ททิส คอฟฟี่)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': True, 'รับบัตรเครดิต': True, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
หอมคาเฟ่ (HOM cafe’),"Soi Phoem Sin 38, Sai Mai, , ,  , สายไหม, เขตสายไหม, กรุงเทพมหานคร 10220, , , กรุงเทพมหานคร (ติดหมู่บ้านแมกไม้)",3.8, 19 เรตติ้ง (17 รีวิว),อันดับ #7 จาก 742, (ต่ำกว่า 100 บาท),11 - 40 ที่นั่ง,"{'จันทร์ - ศุกร์': ['07:00 - 17:30'], 'เสาร์, อาทิตย์': ['09:00 - 17:30']}","ร้านกาแฟ/ชา,เบเกอรี/เค้ก,","[{'หอมคาเฟ่ (HOM cafe’)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'สัตว์เลี้ยงเข้าได้': False, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True, 'เหมาะสำหรับเด็กๆ': True, 'เหมาะสำหรับมาเป็นกลุ่ม': True}]"
Coffee i need u x ARI,"4/1, Soi Ari 1, Samsen Nai, Bangkok, 10400, Thailand กรุงเทพมหานคร",3.9, 17 เรตติ้ง (12 รีวิว),อันดับ #18 จาก 517, (101 - 250 บาท),,{'จันทร์ - เสาร์': ['07:30 - 17:30']},"ร้านกาแฟ/ชา,เบเกอรี/เค้ก,","[{'Coffee i need u x ARI': True, 'ที่จอดรถ': True}]"
Mitta Cafe (Mitta Cafe), กรุงเทพมหานคร,3.9, 134 เรตติ้ง (98 รีวิว),อันดับ #7 จาก 670, (101 - 250 บาท),11 - 40 ที่นั่ง,{'ทุกวัน': ['08:00 - 17:00']},"ร้านกาแฟ/ชา,คาเฟ่,เบเกอรี/เค้ก,","[{'Mitta Cafe (Mitta Cafe)': True, 'ที่จอดรถ': True, 'Wi-Fi': True, 'รับบัตรเครดิต': False, 'เดลิเวอรี': True}]"
กาแฟสดหม้อต้ม 15th Mellow Moka,"15, ถ. ประชาอุทิศ ดอนเมือง ดอนเมือง กรุงเทพมหานคร กรุงเทพมหานคร",4.1, 1 เรตติ้ง (1 รีวิว),อันดับ #2 จาก 630, (ต่ำกว่า 100 บาท),,"{'จันทร์ - ศุกร์': ['08:00 - 15:00'], 'เสาร์, อาทิตย์': ['08:30 - 15:00']}","ร้านกาแฟ/ชา,","[{'กาแฟสดหม้อต้ม 15th Mellow Moka': True, 'เดลิเวอรี': True}]"
